450,0,180,13.5,1062.2,687.82,0,0,75.8
427.5,22.5,180,13.5,1057.96,685.06,0,0,81
405,45,180,13.5,1053.68,682.29,0,0,82.7
382.5,67.5,180,13.5,1049.4,679.52,0,0,84
350,0,210,5.25,1076.4,697,0,0,53.8
332.5,17.5,210,5.25,1073.1,694.8,0,0,56.8
315,35,210,5.25,1069.7,692.7,0,0,57.7
297.5,52.5,210,5.25,1066.4,690.5,0,0,60.3
450,0,180,13.5,1035.7,670.6,5.4,10.1,70.4
427.5,22.5,180,13.5,1031.5,667.9,5.4,10,72.5
405,45,180,13.5,1027.3,665.2,5.4,10,75.4
382.5,67.5,180,13.5,1023.2,662.5,5.4,9.9,78.3
350,0,210,5.25,1049.5,679.6,5.5,10.2,47
332.5,17.5,210,5.25,1046.2,677.5,5.5,10.1,50.2
315,35,210,5.25,1043,675.4,5.5,10.1,52.5
297.5,52.5,210,5.25,1039.8,673.3,5.5,10.1,55.4
450,0,180,13.5,1009.1,653.4,10.9,20.1,62.8
427.5,22.5,180,13.5,1005.1,650.8,10.9,20,67.8
405,45,180,13.5,1001,648.2,10.8,19.9,68.2
382.5,67.5,180,13.5,996.9,645.5,10.8,19.9,68
350,0,210,5.25,1022.6,662.1,11,20.4,41.5
332.5,17.5,210,5.25,1019.4,660.1,11,20.3,43.1
315,35,210,5.25,1016.3,658.1,11,20.2,46.1
297.5,52.5,210,5.25,1013.1,656,10.9,20.2,49.3
450,0,180,13.5,956,619,21.8,40.2,50.7
427.5,22.5,180,13.5,952.2,616.6,21.7,40,55.3
405,45,180,13.5,948.3,614.1,21.6,39.9,56.3
382.5,67.5,180,13.5,944.5,611.6,21.5,39.7,55.6
350,0,210,5.25,968.8,627.3,22.1,40.7,31.8
332.5,17.5,210,5.25,965.8,625.4,22,40.6,35.8
315,35,210,5.25,962.8,623.4,21.9,40.5,37.6
297.5,52.5,210,5.25,959.8,621.5,21.9,40.4,41.3
450,0,180,13.5,902.9,584.7,32.7,60.3,40.3
427.5,22.5,180,13.5,899.3,582.3,32.6,60.1,44.5
405,45,180,13.5,895.6,579.9,32.4,59.8,45.1
382.5,67.5,180,13.5,892,577.6,32.3,59.6,46.4
350,0,210,5.25,914.9,592.4,33.1,61.1,24.3
332.5,17.5,210,5.25,912.1,590.6,33,60.9,28.8
315,35,210,5.25,909.3,588.8,32.9,60.7,31.4
297.5,52.5,210,5.25,906.5,587,32.8,60.5,32.8
450,0,180,13.5,796.7,515.9,54.5,100.5,26.4
427.5,22.5,180,13.5,793.5,513.8,54.3,100.1,29.6
405,45,180,13.5,790.3,511.7,54.1,99.7,30.5
382.5,67.5,180,13.5,787.1,509.6,53.8,99.3,31.8
350,0,210,5.25,807.3,522.7,55.2,101.9,16.2
332.5,17.5,210,5.25,804.8,521.1,55,101.5,18.2
315,35,210,5.25,802.3,519.5,54.9,101.2,20.1
297.5,52.5,210,5.25,799.8,517.9,54.7,100.9,21.2
450,0,180,13.5,531.1,343.9,109,201,10.5
427.5,22.5,180,13.5,529,342.5,108.5,200.2,11.2
405,45,180,13.5,526.8,341.1,108.1,199.4,11.6
382.5,67.5,180,13.5,524.7,339.8,107.7,198.6,11.7
350,0,210,5.25,538.2,348.5,110.4,203.7,7.1
332.5,17.5,210,5.25,536.5,347.4,110.1,203.1,7.2
315,35,210,5.25,534.9,346.3,109.7,202.5,8.1
297.5,52.5,210,5.25,533.2,345.3,109.4,201.8,8.4
360,90,180,13.5,1045.13,676.75,0,0,85.77
280,70,210,5.25,1063.1,688.4,0,0,59.7
360,90,180,13.5,1019,659.8,5.4,9.9,79.1
280,70,210,5.25,1036.5,671.2,5.5,10.1,56.4
360,90,180,13.5,992.9,642.9,10.7,19.8,69.4
280,70,210,5.25,1009.9,654,10.9,20.1,51.3
360,90,180,13.5,940.6,609.1,21.4,39.6,61.7
280,70,210,5.25,956.8,619.5,21.8,40.2,41.2
360,90,180,13.5,888.4,575.2,32.2,59.3,47
280,70,210,5.25,903.6,585.1,32.7,60.4,34.2
360,90,180,13.5,783.8,507.6,53.6,98.9,31.8
280,70,210,5.25,797.3,516.3,54.5,100.6,23.1
360,90,180,13.5,522.6,338.4,107.2,197.8,11.7
280,70,210,5.25,531.5,344.2,109.1,201.2,8.6
